P_CODE,P_DESCRIPT,P_PRICE,P_QOH,Totalvalue
11QER/31,"Power painter, 15 psi. 3-nozzle",109.99,8,879.9199829101562
13-Q2/P2,"7.25-in. pwr. saw blade",14.99,32,479.67999267578125
14-Q1/L3,"9.00-in. pwr. saw blade",17.49,18,314.81999588012695
1546-QQ2,"Hrd. cloth, 1/4-in., 2x50",39.95,15,599.2500114440918
1558-QW1,"Hrd. cloth, 1/2-in., 3x50",43.99,23,1011.7700386047363
2232/QTY,"B&D jigsaw, 12-in. blade",109.92,8,879.3599853515625
2232/QWE,"B&D jigsaw, 8-in. blade",99.87,6,599.2200164794922
2238/QPD,"B&D cordless drill, 1/2-in.",38.95,12,467.40000915527344
23109-HB,"Claw hammer",9.95,23,228.84999561309814
23114-AA,"Sledge hammer, 12 lb.",14.4,8,115.19999694824219
54778-2T,"Rat-tail file, 1/8-in. fine",4.99,43,214.56999015808105
89-WRE-Q,"Hicut chain saw, 16 in.",256.99,11,2826.889892578125
PVC23DRT,"PVC pipe, 3.5-in., 8-ft",5.87,188,1103.5599784851074
SM-18277,"1.25-in. metal screw, 25",6.99,172,1202.2799606323242
SW-23116,"2.5-in. wd. screw, 50",8.45,237,2002.6499547958374
WR3/TT3,"Steel matting, 4'x8'x1/6", .5" mesh",119.95,18,2159.0999450683594
